,seller_id,zip_code_prefix,seller_city,seller_state,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
0,3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,-22.898536428530225,-47.063125168330544,campinas,SP
1,d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,-22.382941116125448,-46.94664125419024,mogi-guacu,SP
2,ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,-22.91064096725142,-43.17650983181368,rio de janeiro,RJ
3,c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,-23.657250175378767,-46.61075944811122,sao paulo,SP
4,51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,-22.971647510075705,-46.53361841170685,bragança paulista,SP
5,c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,-22.89141262003006,-43.22976145989381,rio de janeiro,RJ
6,e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,-9.024839005157318,-36.57020044972058,brejão,PE
7,1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,-21.442124375537592,-50.07351408965658,penapolis,SP
8,768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,-23.569353157366287,-46.63690014002537,sao paulo,SP
9,ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,-25.464029318048183,-49.30472794690424,curitiba,PR
10,8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,-16.327942149486358,-48.93600324439582,anapolis,GO
11,a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,-22.24952039418273,-47.81123678056145,itirapina,SP
12,8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,-23.547159576461446,-46.64989460560333,são paulo,SP
13,05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,-23.58316603052688,-46.76124388343237,são paulo,SP
14,7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,-28.47802628243179,-48.99718340569771,tubarao,SC
15,1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,-12.895112589380958,-38.33895999999978,lauro de freitas,BA
16,166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,-28.190231258277556,-48.66460352500113,imbituba,SC
17,e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,-15.769799999999991,-47.89016774999999,brasilia,DF
18,d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,-16.44446967266491,-39.06166956260506,porto seguro,BA
19,f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,-23.485253731057767,-46.73312974854289,são paulo,SP
20,4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,-23.98788982791853,-46.24777699362336,guarujá,SP
21,4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,-21.72886646318172,-48.68881488220222,tabatinga,SP
22,f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,-23.63029446211553,-46.62350029239998,sao paulo,SP
23,2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,-23.198860047870664,-47.29334560811024,salto,SP
24,8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,-27.713180999999945,-54.26528299999997,tres de maio,RS
25,2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,-19.95661690748416,-43.968436347881045,belo horizonte,MG
26,2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,-23.422194813273112,-51.43376667120238,arapongas,PR
27,116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,-23.724134173502662,-46.57554561519289,sao bernardo do campo,SP
28,430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,-23.7836170269202,-46.68314048987244,sao paulo,SP
29,406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,-23.03582473318652,-47.8363026594829,laranjal paulista,SP
30,4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,-25.43871208756084,-49.24089260093047,curitiba,PR
31,e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,-23.46735986594724,-46.57715992131685,sao paulo,SP
32,d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,-28.03172040884407,-48.62388672140172,garopaba,SC
33,d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,-23.54478975206393,-46.495489292925285,são paulo,SP
34,9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,-22.758277649423835,-46.15427601386239,camanducaia,MG
35,1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,-21.93532101918528,-50.49756182976886,tupa,SP
36,1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,-23.44803925506378,-46.421980491257415,guarulhos,SP
37,d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,-25.497589516673177,-49.18687479711266,sao jose dos pinhais,PR
38,ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,-23.549276996393317,-46.52600554010618,sao paulo,SP
39,b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,-23.63058688480546,-46.61784924409308,sao paulo,SP
40,d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,-15.84773403146559,-48.11320617572606,ceilandia,DF
41,768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF,-15.782105504364816,-47.93233498642118,brasilia,DF
42,a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC,-28.327530882623098,-49.18050954005345,sao ludgero,SC
43,5c030029b5916fed0986310385ec9009,88075,sao jose,SC,-27.58917099140166,-48.579840372323886,florianopolis,SC
44,c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP,-22.715110444918835,-47.645625352213,piracicaba,SP
45,c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS,-30.06838880309298,-51.22319513873832,porto alegre,RS
46,8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG,-22.15937587770692,-46.04402732344177,congonhal,MG
47,28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,MG,-19.86247705744709,-43.89710791840267,belo horizonte,MG
48,41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG,-19.84506185844542,-43.98466346448144,belo horizonte,MG
49,8759e7aedd644f487315e5860962f162,9251,santo andre,SP,-23.63036454454957,-46.5101659848808,santo andre,SP
50,e546117ed9cafbc40239c0c78635c584,4705,sao paulo,SP,-23.62112665860704,-46.69541190660167,sao paulo,SP
51,d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP,-23.56949384569213,-46.8037303756421,osasco,SP
52,0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP,-22.976619071841363,-47.01071509319301,valinhos,SP
53,ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC,-26.330548143460163,-48.88090174304856,joinville,SC
54,41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP,-23.940592627531885,-46.18049042714523,guaruja,SP
55,0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ,-22.91119567907111,-42.47940224673698,saquarema,RJ
56,7d294cf9a6a69dc6a0c3e540fff0e039,88390,barra velha,SC,-26.70909855991671,-48.69369179611,barra velha,SC
57,c89cf7c468a48af70aada384e722f9e2,25730,petropolis,RJ,-22.389386316926604,-43.131794488742194,petropolis,RJ
58,b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,RS,-29.8278405,-50.5234755,santo antonio da patrulha,RS
59,13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR,-25.090806929770974,-50.15864960866176,ponta grossa,PR
60,cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,SP,-23.463669949766263,-46.867870523601965,santana de parnaiba,SP
61,02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP,-23.687193239224257,-46.498261391639694,santo andre,SP
62,c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP,-22.016967296150906,-47.85171546211552,sao carlos,SP
63,55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP,-23.565986162357948,-46.78504212655093,osasco,SP
64,2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP,-21.7664768468313,-48.83154737836604,ibitinga,SP
